paper	venue_year	task	cv_over_edges	testedges_removed_from_encoder_graph	negative_sampling	model_free_baseline	mf_comparator	mf_margin	counted_as_paper	headline_auroc	url	evidence_quote
DiGAMN (Liu et al.)	BMC Genomics 2024	miRNA-disease	yes	yes	uniform random, ratios 1:1/1:5/1:10	no			yes	0.9635	https://pmc.ncbi.nlm.nih.gov/articles/PMC11610307/	"We masked 20% of the association information during cross-validation in the test set to prevent information leakage.; ""we randomly selected an equal number of miRNA-disease pairs with no recorded associations as negative samples"""
DGNMDA (Lu et al.)	Bioengineering 2024	miRNA-disease	yes	unclear	uniform random from 0-labeled pairs, 1:1	no			yes	0.9455 (mean of 5 folds)	https://pmc.ncbi.nlm.nih.gov/articles/PMC11591469/	"To tackle the uneven data distribution, we perform undersampling on the negative samples.; ""we utilize 5-fold CV"""
HLGNN-MDA (Yu et al.)	IJMS 2022	miRNA-disease	yes	yes	uniform random, 1:1	yes	BNPMDA (bipartite network projection)	0.07438	yes	0.93086 (10-fold CV, hop4, Table 1)	https://pmc.ncbi.nlm.nih.gov/articles/PMC9657597/	"The training set extracts known associations as positive samples and randomly samples an equal number of potential associations as negative samples.; ""In each round, HLGNN-MDA removed the positive samples in the test set from the adjacency matrix.""; ""The dataset with the positive and negative samples together was then randomly divided into ten parts."""
MEAHNE (Huang et al.)	Life 2022	miRNA-disease	yes	unclear	uniform random, 1:1	no			yes	0.9520 (Table 3)	https://pmc.ncbi.nlm.nih.gov/articles/PMC9655430/	We split the dataset into training (70%), validation (10%), and test (20%) sets using a random sampling method without repetition. The ratio of positive-to-negative samples in all sets is 1:1.; MEAHNE AUC 95.20 vs. HECO 93.00, MAGNN 92.93, HAN 92.35 (Table 3)
CKSNP-GNN (Li et al.)	Genes 2022	miRNA-disease	yes	unclear	uniform random, 1:1 (16,427 negatives)	yes	LLCMDA (locality-constrained linear coding + label propagation); PBMDA (path-based model) is the other untrained row	1.81	yes	0.9371 (5-fold CV mean, Table 1)	https://pmc.ncbi.nlm.nih.gov/articles/PMC9602123/	"In order to balance the positive and negative samples, 16,427 negative samples were randomly selected from the unknown associations; ""Five-fold cross validation was selected to evaluate the performance of the model.""; ""achieved an average area under the curve (AUC) of 93.71 +/- 0.42%"""
HMCDA (Liang et al.)	BMC Bioinformatics 2023	circRNA-disease	yes	unclear	uniform random, 5:1	no			yes	0.9135	https://pmc.ncbi.nlm.nih.gov/articles/PMC10494331/	"the fivefold cross validation method is used; ""we randomly sample 5 different negative node pairs for each positive node pair"""
HiGLDP (Wang et al.)	BMC Biology 2026	lncRNA-disease	yes	unclear	not described (1:1 ratio stated, origin of the negatives not)	no			yes	0.9696	https://pmc.ncbi.nlm.nih.gov/articles/PMC13032502/	All methods were trained on identical sets of positive and negative lncRNA-disease pairs with a 1:1 ratio and evaluated using both fivefold and tenfold cross-validation, where the test associations were strictly excluded from the training folds.
GPS-DTI (Xiong et al.)	BMC Biology 2025	drug-target	yes	not_applicable	balanced dataset, equal pos/neg (curation method unclear; the COVID-19 arm samples randomly at 1-20x)	no			yes	not extracted (multi-dataset table)	https://pmc.ncbi.nlm.nih.gov/articles/PMC12659342/	we use a five-fold cross-validation approach; baselines are SVM, RF, GraphDTA, DeepConvDTI, TransformerCPI, MolTrans, HyperAttDTI, DrugBAN, CAT-DTI -- all learned, none model-free
SaeGraphDTI (Zhang et al.)	BMC Bioinformatics 2025	drug-target	yes	yes	all unlabeled pairs treated as negative (not sampled)	no			yes	not extracted	https://pmc.ncbi.nlm.nih.gov/articles/PMC12265306/	"Considering all DTIs in the dataset as positive examples and the rest as negative examples; ""We employed five-fold cross-validation as our evaluation method."""
DTI-MHAPR (Yang et al.)	BMC Bioinformatics 2025	drug-target	yes	unclear	uniform random, 1:1	unclear	FSI (heterogeneous network propagation with forward similarity integration) -- named as compared, but no number printed		yes	not extracted	https://pmc.ncbi.nlm.nih.gov/articles/PMC11726937/	"we labeled all known drug-target protein associations as positive 1 and randomly selected an equal number of negative samples; ""five-fold cross-validation, with 80% of the samples for training and 20% for testing"""
iNGNN-DTI (Sun et al.)	Bioinformatics 2024	drug-target	yes	not_applicable	uniform random, 1:1	no			yes	0.931-0.934 (Davis/BIOSNAP)	https://pmc.ncbi.nlm.nih.gov/articles/PMC10957515/	"we randomly sample unseen drug-target pairs with the same number of positive pairs as in the negative samples; ""Each dataset is split into train, validation, and test sets in the ratio 7:1:2."""
ModulePred (Jia et al.)	BMC Bioinformatics 2024	gene-disease	yes	unclear	uniform random, 50:1	yes	RWR and RWRH (random walk with restart, plain and on the heterogeneous network); DADA also qualifies		yes	0.834	https://pmc.ncbi.nlm.nih.gov/articles/PMC11549817/	"the number of negative samples was set to be 50 times the positives; L3 score is used only for network data augmentation (""we initiate the process by conducting data augmentation on the protein interaction network through L3-based link prediction algorithms"") and does not appear in any results/comparison table -- compared baselines are DADA, RWR, RWRH, Dgn2vec, HerGePred, all learned"
